   <Script started on Sat Jul 18 21:02:40 2015
Trying 192.168.1.78...
Connected to 192.168.1.78.
Escape character is '^]'.
ý^M
..//llss^M

001	20150712_125821.pfl	000	[000 001]
002	20150712_154748.pfl	009	[002 509]
003	20150712_194236.pfl	036	[510 260]
004	20150713_185022.pfl	046	[261 663]
005	20150714_131818.pfl	046	[664 146]
root > ..//momorree  55^M

20150714_131818.pfl Flash Memory Pages  5664 : 6146
14-07-2015 13:18:18  Starting Data Acquisition Systems ...
14-07-2015 13:18:18  Probe Configuration... |70|72|76|80|84|134|137|141|145|149|198|202|206|210|214|2|
14-07-2015 13:18:18  Thermistor Controller Serial 0x97F4
14-07-2015 13:18:18  Temperature Control Active 1 ...
14-07-2015 13:18:18  Heater Intervals ON 5  OFF 0 
14-07-2015 13:18:18  Sensor Temperature 23.8 C
14-07-2015 13:18:18  Battery Voltage 12.2V
<|14-07-2015|13:21:52|97F4|00068|23.7| 4.20| 2.95| 2.52| 2.15| 1.83| 5.98| 5.78| 5.11| 4.60| 3.87| 8.76| 8.14| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|04|01|12.1|2|-1.0|>
<|14-07-2015|13:21:56|97F4|00069|23.7| 4.21| 2.95| 2.55| 2.14| 1.82| 5.97| 5.78| 5.11| 4.60| 3.88| 8.78| 8.15| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|04|01|12.1|3|-1.0|>
<|14-07-2015|13:21:59|97F4|00070|23.7| 4.21| 2.95| 2.52| 2.15| 1.82| 5.97| 5.78| 5.11| 4.60| 3.88| 8.78| 8.15| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.48|04|01|12.1|4|-1.0|>
<|14-07-2015|13:22:02|97F4|00071|23.7| 4.21| 2.95| 2.56| 2.15| 1.82| 5.98| 5.76| 5.08| 4.58| 3.86| 8.77| 8.13| 6.01| 0.00|-0.87| 0.00| 2.37| 4.82| 2.45|00|01|12.2|0|-1.0|>
<|14-07-2015|13:22:05|97F4|00072|23.7| 4.21| 2.96| 2.52| 2.16| 1.83| 5.99| 5.78| 5.12| 4.60| 3.88| 8.78| 8.14| 6.01| 0.00|-0.87| 0.00| 2.37| 4.84| 2.47|04|01|12.1|0|-1.0|>
<|14-07-2015|13:22:08|97F4|00073|23.7| 4.21| 2.95| 2.52| 2.15| 1.83| 5.99| 5.78| 5.11| 4.60| 3.88| 8.78| 8.14| 6.01| 0.00|-0.87| 0.00| 2.37| 4.84| 2.47|04|01|12.1|1|-1.0|>
<|14-07-2015|13:22:11|97F4|00074|23.7| 4.21| 2.94| 2.48| 2.15| 1.82| 5.99| 5.77| 5.11| 4.60| 3.87| 8.78| 8.14| 6.01| 0.00|-0.87| 0.00| 2.35| 4.84| 2.48|04|01|12.1|2|-1.0|>
<|14-07-2015|13:22:14|97F4|00075|23.7| 4.21| 2.95| 2.52| 2.15| 1.83| 6.00| 5.78| 5.11| 4.60| 3.88| 8.79| 8.14| 6.01| 0.00|-0.87| 0.00| 2.37| 4.84| 2.47|04|01|12.1|3|-1.0|>
<|14-07-2015|13:22:17|97F4|00076|23.8| 4.21| 2.96| 2.52| 2.15| 1.83| 6.00| 5.78| 5.11| 4.60| 3.87| 8.79| 8.14| 6.01| 0.00|-0.87| 0.00| 2.37| 4.84| 2.47|04|01|12.1|4|-1.0|>
<|14-07-2015|13:22:20|97F4|00077|23.8| 4.21| 2.95| 2.52| 2.15| 1.83| 6.01| 5.78| 5.11| 4.60| 3.88| 8.79| 8.14| 6.01| 0.00|-0.87| 0.00| 2.36| 4.84| 2.47|00|01|12.2|0|-1.0|>
